message,label,token,category
"баба, когда ты меня выпустишь??",FALSE,баба,сексизм
"сдается мне , что это навальный ! ))",FALSE,навальн,политика
победа байдена = катастрофа для россии,FALSE,байден,политика
"байден говорил про подъем налогов для бизнеса ,вернее отмену послаблений трампа и про локдаун (но на днях от него переобулся )",FALSE,трамп,политика
"у пессимистов, как известно, стакан пуст",FALSE,пес,другое
пока тебя не забанят я буду рядом с тобой,FALSE,забан,другое
"шортист это лонгуст в маске, таже личность, только оборотень. а ещё он должен быть пессимистом.",FALSE,пес,другое
если в falcon запихать автомобиль тесла то полетит ),FALSE,тесла,компании
"интересная у него биография. и не мешало бы помнить, что мы у него, а не он у нас.  тинькофф делатель и взращиватель бизнесов. не даром его кумир ричард бренсон.",FALSE,тиньк,компании
"насмотрелся я уже на теслаинвесторов. маск гений, компания уникальная, это будущее. а при малейшей просадке продают???",FALSE,тесла,компании
"что то мне подсказывает, что лодыжка байдена повлияет на рынок больше чем забота об экологии от сбера",FALSE,байден,политика
путин могила,FALSE,путин,политика
"а желание байдена повысить налоги разве не должно либо нивелировать либо вообще свести на нет эффект от его поддержки экологии? я имею ввиду эффект на цену акций, а не на экологию.",FALSE,байден,политика
кстати меня тесла тоже прокатила на - 880$,FALSE,тесла,компании
"а евроторг как найти в тинькофф? его как раз недавно в инвест-идеи советовали, но не нашёл ?",FALSE,тиньк,компании
мне за друга дали мтс на 340 руб. хоть тинькофф и не обманул что выплатить подарок до 20 тыс руб ?,FALSE,тиньк,компании
плохой пример..пес плохо кончил?,FALSE,пес,другое
"если очко железное, можно и 2 $ ждать  ну и когда по 115 р в день, никто не считает минусом!  мой вариант!",FALSE,очко,другое
да как там в песенке поется - всё хорошо прекрасная маркиза.....))),FALSE,пес,другое
минус 1200 $ тесла,FALSE,тесла,компании
можно просто берёшь и удаляешь тинькофф инвестиции.,FALSE,тиньк,компании
ну я в тинькоф со средней 0.4 пока вместе с вами,FALSE,тиньк,компании
"это после слов трампа,а не та",FALSE,трамп,политика
"думаю, лечит она не лечит от ковида, после новости с трампом, всё внимание на вакцину и тп",FALSE,трамп,политика
кто такой этот байден?),FALSE,байден,политика
"чо покупать, чо продавать? тесла дорогая слишком и на самом верху реально шоль еще выше попрёт?",FALSE,тесла,компании
нет. это не про нас. эти бумаги тинькофф не торгует. но дивиденды по этим бумагам за несколько дней объявляют до дивидендов по нашим.,FALSE,тиньк,компании
"давно хочу перейти с тинька , подыскиваю что то другое",FALSE,тиньк,компании
уверен что ценник так и будет болтается 60.5-59.5...  гонк и шорт это просто помощь тиньку в комиссии...,FALSE,тиньк,компании
"я как-то яндекс в + продал на хайпе, у меня показало +800% бред же, с 500к 20к всего поднял",FALSE,яндекс,компании
"любит тинькофф такое дело, к сожалению.",FALSE,тиньк,компании
"ну ну, +3.5% за день, это за упокой яндекса?",FALSE,яндекс,компании
"тесла это будущее, вы не понимаете",FALSE,тесла,компании
"действует, но тинькоф их учитывает, так что всё нормально.",FALSE,тиньк,компании
там без сбоев? тиньковский?,FALSE,тиньк,компании
"как думаете, как завтра себя будет вести тесла? капитан банальный вопрос приветствует вас ???????",FALSE,тесла,компании
"ну я ещё должна осталась тиньку, видимо(((",FALSE,тиньк,компании
"взял шорт по 11.14 и хорошенько закрыл уже. зачем лишний раз очковать и амеров ждать, на объеме можно и скальпить",FALSE,очко,другое
"я 26 августа так же думала и купила на все по 75,8 ? кое-как скинула и перезашла. сейчас прям очково как-то опять встрять)))",FALSE,очко,другое
у меня минус 3 тыс дол какои ещё к черту спад дальше?,FALSE,черт,другое
тебя тиньков персонально забанил,FALSE,забан,компании
почему не забанили ?,FALSE,забан,другое
а че у тебя в роту делают немецкие зубы. дед передал???,FALSE,рот,другое
"ну так то да, но если трамп победит на выборах, он может после них подписать это.",FALSE,трамп,политика
"при выборе трампа, продолжится торговая война с китаем, а амд этим перестраховаться решил, по-моему так все произошло",FALSE,трамп,политика
опрос говорит что байден лидирует,FALSE,байден,политика
"привет михаил! подписан на тебя и прислушиваюсь. вопрос по алибаба есть рано фиксировать убытки, ждать?",FALSE,баба,сексизм
сходим! алибаба тоже должна вниз! эпл вверх,FALSE,баба,сексизм
посмотрим что до пятницы будет смотри алибаба куда упал,FALSE,баба,сексизм
"осталось подождать чтоб он припал ещё процентов на 5 и можно заходить снова, а то я от расстройства от продажи яндексу, почти все продал и в валил норникель.",FALSE,яндекс,компании
на графике в терминале тинькова или на сайте investing.com,FALSE,тиньк,компании
"тинькофф гавно банк, бегите от него.",TRUE,тиньк,компании
"хорошо баба, пущай так будет))",FALSE,баба,сексизм
безумная баба (с),FALSE,баба,сексизм
"бууум, у меня нет никого, бабаааах, еще гукич появился",FALSE,баба,сексизм
"сейчас на рынках сильная волатильность, делать во времена большой неопределенности какие-то прогнозы дело бессмысленное. сейчас как пакет поддержки байден пообещает и улетим в космос",FALSE,байден,политика
трамп похоже проиграет выборщикам все равно.,FALSE,трамп,политика
"байден вверх, трампа боковик",FALSE,трамп,политика
"удали мат, забанят на пару суток",FALSE,забан,другое
забанили за пост про жуков в бутерброде которых я ем,FALSE,забан,другое
"я его уже оплатил, минус 30к, черт меня дернул опять этой фигней заняться.",FALSE,черт,другое
"очень советую пройти курс от тинькофф о инвестициях. есть в отдельном приложении и на сайте тинькоф журнала.  в принципе его практически достаточно, чтобы собрать самый простой портфель.",FALSE,тиньк,компании
тесла в плюсе,FALSE,тесла,компании
"купить не могут лишь те кто торгует через тиньков, нам запретили.",FALSE,тиньк,компании
объясните уже наконец почему при байдене доллар за 100??,FALSE,байден,политика
"байден, как будущий президент должен сказать что-то хорошее, но это не точно )",FALSE,байден,политика
"байден еще в неваде победить должен, для полной победы",FALSE,байден,политика
это значит держать псинку?,FALSE,псин,другое
"що ма?мо то ма?мо, сало  з неба пада?, прямо у рота?",FALSE,рот,другое
"черт, тогда я дико не прав",FALSE,черт,другое
скорее всего глюк тинька или биржи,FALSE,тиньк,компании
это нужно у тинькова спросить,FALSE,тиньк,компании
"вот и подтверждение, что тесла будет расти. может, и опустится ещё до 350-360, по потом будет 700",FALSE,тесла,компании
"надо навальному трусы вернуть, может чуток $ упадет",FALSE,навальн,политика
скорее всего трамп останется на второй срок и доллар также пойдёт наверх как всегда,FALSE,трамп,политика
вопрос лишь в 6 голосах в штате невада. если с шестью выборщиками договорятся - у трампа 271 голос будет и соответственно победа.,FALSE,трамп,политика
без тягомотины вот так просто и без твита? ну нет,FALSE,гомо,сексизм
все знают что в понедельник баба будут стоить 300),FALSE,баба,сексизм
гомояблоко?,FALSE,гомо,сексизм
путину расскажи) он уже 20 лет раскачивается,FALSE,путин,политика
байден побеждает так-то,FALSE,байден,политика
ну на сегодняшний день даже путин призвал к инвестициям. экономику спасут физики???,FALSE,путин,политика
доброе утро! в тинькофф стало доступно несколько немецких компаний. в качестве диверсиыикации какие можете посоветовать посмотреть?,FALSE,тиньк,компании
"я тебя понял, надо тесла??? покупать, профан. ?",FALSE,тесла,компании
"так это же ваши слова тесла упала и на это есть причины...   я и сказал что весь рынок откатился, а вашими словами упал, и падение теслы не связано с берлином или днем батарей.",FALSE,тесла,компании
чертов гений :),FALSE,черт,другое
"вышел, дак ищи другой профит, а не гоняйся за мячом, как собака. много других акций, дай всем заработать.",FALSE,собак,другое
"почитай,зрелый взгляд))). этот вирус как герпес,уже на всю жизнь у тебя в организме. от герпеса кстати так ничего и не изобрели. и не избавишься ты от короны никакой вакциной",FALSE,пес,другое
"если байден победит, существует вероятность введения карантина, причем реальная",FALSE,байден,политика
трамп. твиттер. всё :),FALSE,трамп,политика
"да это просто жути нагнали про байдена, чтобы жути нагнать и доллар по максимуму продать всем желающим на хаях, а акции скупить на лоях",FALSE,байден,политика
смайлик в посте ->???? девочковый?,FALSE,очко,другое
"сначала все очкошортеры выйдут, вверх пойдём",TRUE,очко,другое
"нам с этой девочкой в красном кастол роудж, пожалуйста",FALSE,очко,другое
"у нытиков баба как ты говоришь, которые сидели с 300$ и усредниловка на 270 уже финансы не позволяют усреднять, усреднись я на последние плечи по 254, мои плечи и 250 бы не выдержали",FALSE,баба,сексизм
у тебя еще алибаба такой же?,FALSE,баба,сексизм
на открытии торгов баба ещё упадёт значит,FALSE,баба,сексизм
песенок нам ещё тут нахватало...,FALSE,пес,другое
забаньте его,FALSE,забан,другое
"это тот случай когда повезло , бакс 77 не увидел, а очко получило массу удовольствия!????",FALSE,очко,другое
"а может и не отойти, вы думаете, что тех.график отражает суть?) трамп заболел, вот и валятся рынки.",FALSE,трамп,политика
"ага, только более 249 байдену не светит",FALSE,байден,политика
"надеюсь, дело за учёными, а не трампом) на патенты и положительные результаты тестирований лекарств обычно всё-таки рынок резко положительно реагирует, хотя я уже ничему не удивлюсь",FALSE,трамп,политика
"дед , угомонись волокардинчику выпей",FALSE,гомо,сексизм
"пока с «потоком» не угомонятся, так и будет..",FALSE,гомо,сексизм
"все знали, что баба перепродана, все сидели и сидят в лонгах и ждут, когда она отрастет.  аналитика от бога, как сказали ранее",FALSE,баба,сексизм
про навального и беларусь читали? не будет оно расти пока геополитические риски.,FALSE,навальн,политика
"хм, ну тогда у байдена будет 269 голосов, а у трампа 265, если он остальные штаты возьмёт. вроде так",FALSE,трамп,политика
"«предварительные данные»!  я привёл пример штата пенсильвания, в котором трамп ведёт на 12% и за который получит 20 голосов, а таких ещё 5 штатов и 77 голосов суммарно",FALSE,трамп,политика
"добрый! вчера в тиньке увидел богиню, 800 сделок с телефона  за день",FALSE,тиньк,компании
"яндекс правильный был выбор но никто не мог подумать , что тинькофф передумает проводить сделку",FALSE,яндекс,компании
вы самый лучший) вы со многими с самого их начала регистрации в тиньке) вы очень помогаете!,FALSE,тиньк,компании
"я за байдена, но трамп победит, плюс конгресс я так понял за республиканцам?",FALSE,трамп,политика
"навальный не дай бог чихнет, и обвалится ваш сбер еще 10%",FALSE,навальн,политика
"все логично, трамп заболел, модена в которую он вливает бюджет спасет его и возвысится до небес",FALSE,трамп,политика
"да че, тут осталось то, неделя до выборов. «нам бы ночь простоять до день продержаться» сказал трамп.",FALSE,трамп,политика
"ну а так мы все уже с рождения при номере снилс и с телефончиком, так что уже и ни гейтс,а путин",FALSE,путин,политика
"честно,не верю в такой расклад,слишком это большие бабки . байден, хочет чтоб все было «зелёное» , но это очень дорого,сомневаюсь,что ему дадут)но это чисто мое мнение)",FALSE,байден,политика
"баба 280 это ещё не пробитие, а скорее прокол",FALSE,баба,сексизм
"баба просто,не привычно что ли по жизни?)))",FALSE,баба,сексизм
"если спекулировать не получается лучше купить и забыть,такую компанию как али-баба можно спокойно брать на долгосрок",FALSE,баба,сексизм
капец ты пессимист,FALSE,пес,другое
"лови бан, тряпка",TRUE,тряпка,другое
"440 и потом на хаях черт меня дернул купить, поверил в рост) итого 499 средняя",FALSE,черт,другое
"надежда баба крепкая, последней умерает...",FALSE,баба,сексизм
"да вроде баба неплоха, чп на носу... да и $ просто так лежали без дела. если заминусит, доберу. я без фанатизма.",FALSE,баба,сексизм
"баба встала, никуда и ни сюда",FALSE,баба,сексизм
тинькофф оборзел в край ((( за неделю третья ситуация(((,FALSE,тиньк,компании
это тинькофф так на шорт натягивает. пишите в поддержку,FALSE,тиньк,компании
какие конкуренты у яндекс.еды? деливери разве что и все,FALSE,яндекс,компании
"видимо кто то что то знает. байден скорее всего победил в каком то штате. в новостях нет, а акции уже упали",FALSE,байден,политика
привет передавай зелёным и байдену),FALSE,байден,политика
"байден победит, цифры вещь упрямая :))",FALSE,байден,политика
"подожди немного, щас рост идёт. покупать надо на падении. я на этом собаку съел :(",FALSE,собак,другое
красава ? все разложил. только ты никогда не сделаешь оптимиста пессимистом. не мешай человеку покупать у шортистов акции??,FALSE,пес,другое
такая же песня,FALSE,пес,другое
да черт их знает что они ждут. просто писали же аналитики что несмотря на возможность локдауна 2.0 рынок на позитиве. байден им траву легализовал - похоже накурились и гонят.,FALSE,черт,политика
да но очко жмет наночь оставить,FALSE,очко,другое
у меня такая же песня,FALSE,пес,другое
"5к минус да это песня ???я по 198 брала, сижу тихо жду....  минус озвучивать не буду??",FALSE,пес,другое
"сидишь такой, читаешь телеграмм каналы, ножки свесил. а потом удивляешься почему рот в гавне",FALSE,рот,другое
это из оперы - скажи миллион раз свинья собаке и глядишь захрюкает ? нас - всех граждан рф пытаются из всех приемников убедить какая классная эта самая ввпешная стабильность ?,FALSE,собак,другое
в яблочко ??,FALSE,очко,другое
"собаку хочу думаю какую взять овчарку немца, или спаниеля)",FALSE,собак,другое
чучуть заработал и вышел. чо сразу песец то,FALSE,пес,другое
"а какие акции иностранных эмитентов можно купить в тинькофф инвестиции за рубли? насколько я понимаю, здесь это не доступно ?",FALSE,тиньк,компании
да нет. не парой. тесла села намного глубже. графики были похожие но % совсем разный. влез тоже на хаях ) до дня батарей и не надеюсь выйти в ноль. сидим чилим. ждем ),FALSE,тесла,компании
"а тесла20$ стоила ,сейчас малину не так страшно брать как теслу",FALSE,тесла,компании
"square и paypal лучше уберите из списка, биток к чертям летит ?",FALSE,черт,другое
так и забанить могут,FALSE,забан,другое
жалобу кинул надеюсь забанят и бред перестанешь писать. сектанты чертовы из обычной акции цирк сделали,TRUE,черт,другое
"ком.партия китая расстреляла джека ма, алибаба банкрот",FALSE,баба,сексизм
спамер угомонись )) хорош слать это говно в ленту,TRUE,гомо,сексизм
алибаба просела,FALSE,баба,сексизм
"все так, разве баба дуня ошиблась. все бабки с ее лавки с утра купили, и погнали цену вверх))) если баба дуня  сходит посплетничать на детскую площадку у 4-ой поликлинике, ракета уйдет минимум 78.",FALSE,баба,сексизм
василий алибабаевич!,FALSE,баба,сексизм
"судя по портфелю, алибаба у вас уже нет, в момо, какая средняя?",FALSE,баба,сексизм
"не факт , что на выборах будет ралли демократы могут накуканить трампа))а в рождество рынок почти всегда растёт, я смотрел графики последних 12 лет)",FALSE,трамп,политика
"и когда нефть стоила -20$ , цена доллара не была в 81 рубль . что то тут не то . и путин сказал бакс пускать в свободное плаванье .",FALSE,путин,политика
"да это желтуха, совсем не похоже на трампа",FALSE,трамп,политика
меня сегодня на яндексе так выбило(,FALSE,яндекс,компании
"буду держать, деньги сейчас не сильно нужны . пусть тесла растёт .",FALSE,тесла,компании
"когда что-то у яндекса спрашиваете, это нужно делать в браузере, на соответствующем сайте, а не в инвестициях.",FALSE,яндекс,компании
это время для усреднения))может баба не захотела дочку отпускать)))),FALSE,баба,сексизм
"фригидная баба , даже сисек не запостила   на аве ...?",TRUE,баба,сексизм
бабам,FALSE,баба,сексизм
старый пес,FALSE,пес,другое
"прикол в том что при таком назадке она уже должна стоить 310. уже все просели, эпл и все, а эта тварь гнётся но не ломается, так что не факт друг, не факт",FALSE,тварь,другое
"так и есть. тесла- это легальное казино. никто не знает, пойдет она вверх или вниз",FALSE,тесла,компании
"браво тесла! ? вот, заработаю на тесле, когда, сразу же куплю себе теслу ?",FALSE,тесла,компании
а что грозит яндексу?,FALSE,яндекс,компании
да не понятная просто она. поэтому риск очковый,FALSE,очко,другое
песков да что ты черт возьми такое говоришь,FALSE,пес,другое
"если не исключить вероятность гражданской войны после выборов, то это просто пыльца от цветочков.",FALSE,очко,другое
яндекс куш собирает)),FALSE,яндекс,компании
"если бы не глюк тинькофф, было бы у меня этих акций в 2 раза меньше.  а так они мне оформили продажу 2 раза.",FALSE,тиньк,компании
а тесла отчёт 21 а у этой полет 22.... будет перекладка денег,FALSE,тесла,компании
"забудьте шорт, тесла дальше 500 будет идти",FALSE,тесла,компании
"нюансов много, надо более подробно изучать не только в рамках валюты/стоимости, у тинькова в блоге есть статьи тоже.  надо больше времени для изучения",FALSE,тиньк,компании
"в том и прикол, что тесла ходит за сиплым, а не насдаком. выводы делайте сами.",FALSE,тесла,компании
"опа так вы новичек, а уже успел мне рот закрывать... вот такие тут и пишут. скрин.",FALSE,рот,другое
как в песне у сплина - делаем новых людей ?,FALSE,пес,другое
? вот черт,FALSE,черт,другое
журнал тинькофф рост сбережений,FALSE,тиньк,компании
ждите другую акцию от тинькофф),FALSE,тиньк,компании
"ваши клише ? ваши проблемы ! а какакшками покидаться идите лучше на яндексдзен, здесь более притязательная публика.",FALSE,яндекс,компании
да не на нее точат- там всех касается. просто баба заметная. а вообще в ней дофига денег американцев- дадут выпрямиться,FALSE,баба,сексизм
а чего алибаба так упал?,FALSE,баба,сексизм
амеров заинтересовала баба,FALSE,баба,сексизм
баба?,FALSE,баба,сексизм
да я в курсе)) удивляюсь просто от наших разработчиков такое приложение забабахали) подобия пульсу ни где вроде нет,FALSE,баба,сексизм
"я заметил, что две относительно алибаба небольшие компании китая, занимающиеся торговлей онлайн выросли на 15%, а али сосет палец",FALSE,баба,сексизм
"трампа не выберут и это всем понятно. так, что будет только предвыборное падение.",FALSE,трамп,политика
че трамп что я пропустил?,FALSE,трамп,политика
спасибо за оперативность. топим за байдена,FALSE,байден,политика
по моему тесла и при трампе неплохо росла,FALSE,тесла,политика
"просто так, потомучто все видят как растет тесла ,sedg, lb. сливают нормальные компании и бегут в пампофигню",FALSE,тесла,компании
в тесла  сейчас работают люди которые раньше работали в других местах когда теслы не было. переучить хорошего инженера дело быстрое.,FALSE,тесла,компании
гороховая тесла ?,FALSE,тесла,компании
теперь тесла шорт),FALSE,тесла,компании
нужен конечно. тинькофф то как раз строительством занимается ?,FALSE,тиньк,компании
сейчас ещё пакет поддержки будет от трампа  полетит ещё  потом отчёт,FALSE,трамп,политика
"помощь авиа, помощь экономике, вакцина, открытие границ, победа трампа - 5 возможных толчков для роста в 2020.",FALSE,трамп,политика
"трамп по вакцине, что то выскажет",FALSE,трамп,политика
"весной у тинькофф заказываете отчёт по дивидендам, называется отчет по иностранным доходам. там вся информация, оттуда цифры в декларацию переносите",FALSE,тиньк,компании
яндекс разве 0 за вчера? или не учитываются вечерние сессии в статистике?,FALSE,яндекс,компании
"я зашёл что бы снять его,но стоп лоса уже не было,подумал что пронесло,тинькофф кароч не отобразил",FALSE,тиньк,компании
сентябрь- октябрь 600+ будет.. угомонитесь уже!),FALSE,гомо,сексизм
не по полану. все уровни поддержки пробивает не задерживаясь. тут явно баба валя виновата.,FALSE,баба,сексизм
а смысл есть продавать то что в хорошем плюсе? у меня по алибаба например + 40%,FALSE,баба,сексизм
братан забанили мы все тут),FALSE,забан,другое
"да черт их знает. щас придут, снова все разнесут и заберут наши денежки. а может и не заберут.",FALSE,черт,другое
"на яху финанс почитал статью в заголовке написано заявление о банкротстве, а тексте заявление о защите от банкротства и где собака зарыта?",FALSE,собак,другое
"учитывая, какая у тебя ожуенная (лол если за мат опять забанят)  доходность у пульса, это хороший знак).",TRUE,забан,другое
"да, ты избранный (нет). все индексы летят к чертям с 4 числа, особенно техи.",FALSE,черт,другое
"267 средняя, так и то очково... а 312 это просто без слов",FALSE,очко,другое
на столько алибаба сексуальная.... ммм ?,FALSE,баба,сексизм
сам ждёшь что баба сядет в ракету и полетит на марс?,FALSE,баба,сексизм
баба растет пожирая доллары,FALSE,баба,сексизм
":) тут пол чата пишут похожее. всех как забанить? да и скучно будет, наверно?",FALSE,забан,другое
"ну правильно, покушаешь у пессимистов , продавать будем оптимистам ??",FALSE,пес,другое
прошу забанить за панические комментарии,FALSE,забан,другое
"это что ещё за песенки?))) яблоки! на снегу.,.",FALSE,пес,другое
забанили его,FALSE,забан,другое
"я не только к вам, а к другому комментатору тоже :) в общем, зашортил я одну акцию, потому что моя инвест-модель не позволяет мне взять больше ? иначе все риски летят к черту ?",FALSE,черт,другое
риг уже несколько раз успел прогнать. сейчас тоже подбираю  ждём новый денежный транш от трампа,FALSE,трамп,политика
"в пятницу шорты снял, взял в лонг! оправданный поступок! ребята ждите сегодня новость что трампа не выпишут и сходим вниз! ещё фонды не закупались по хорошей цене!",FALSE,трамп,политика
